osmid,y,x,street_cou,highway,ref
2135938609,30.6062018,104.0324796,3,,
2135938610,30.6074994,104.0303054,3,,
2135938612,30.6063884,104.0336615,3,,
2135938618,30.6019131,104.0399745,4,,
2135938619,30.6069907,104.0311806,3,,
2135938636,30.6078958,104.0306711,3,,
2135938645,30.6042735,104.0315957,3,,
2135938651,30.6027676,104.0381922,4,,
2135938654,30.6057704,104.0342408,3,,
2135938655,30.602622,104.0400519,4,,
2135942406,30.6119106,104.0228504,3,,
2135942413,30.611619,104.0229374,3,,
2135942424,30.6114113,104.0230496,3,,
2135942432,30.6108656,104.0240882,3,,
2135942436,30.6118331,104.0233543,3,,
2135944704,30.6161217,104.0165029,3,,
2135944707,30.6168238,104.0156946,3,,
2135944709,30.6199701,104.0119528,4,,
2135944710,30.6162114,104.0161195,3,,
2135946726,30.6161466,104.0156152,3,,
2135946728,30.6134597,104.0194917,3,,
2135946732,30.6247778,104.004306,3,,
2135946735,30.6246646,104.0047638,3,,
2135946740,30.613576,104.0190514,3,,
2135946750,30.6245881,104.0046012,3,,
2180630915,30.6996188,104.0518201,3,,
2180630923,30.6996117,104.0524556,3,,
2180630926,30.6985825,104.0518268,3,,
2180630928,30.6991222,104.0529965,3,,
2180630938,30.6985888,104.0524452,3,,
2180630939,30.6990716,104.0511989,3,,
2200898974,30.5972399,104.0809814,3,,
2200898985,30.6008271,104.0854354,3,,
2200898986,30.595425,104.0821768,3,,
2200898987,30.5990365,104.0849131,3,,
2200898993,30.6006019,104.0800524,3,,
2200898996,30.5993968,104.0801651,3,,
2202790443,30.6025141,104.0982006,3,,
2202826071,30.6139682,104.0278483,4,,
2202826072,30.6138802,104.023297,1,,
2202826073,30.6084508,104.0302708,1,,
2203828990,30.7122383,104.1663883,3,,
2203829012,30.7178474,104.1625552,3,,
2204171382,30.7246548,104.0799308,3,,
2204171403,30.7271615,104.080857,3,,
2204171423,30.7252961,104.0767077,3,,
2204171428,30.7216647,104.0886676,3,,
2211339987,30.6310404,104.0937624,3,,
2211348822,30.6585743,104.117642,3,,
2211353126,30.6937149,104.0817129,3,,
2212264584,30.5950525,104.0837029,3,,
2213017590,30.5950825,104.0835623,4,,
2213017594,30.6068795,104.0957973,3,,
2213044939,30.607544,104.0995962,3,,
2213049521,30.6191291,104.1094776,3,,
2214043177,30.6285477,104.0894611,3,,
2214043180,30.6285733,104.0873264,3,,
2214043181,30.6243153,104.0875258,3,,
2214043190,30.628321,104.090103,4,,
2214043192,30.6231517,104.0874747,3,,
2217714910,30.6609371,104.0664485,3,,
2217714914,30.6609716,104.0683961,4,traffic_signals,
2217746783,30.6607604,104.0669838,3,,
2217746791,30.6608656,104.0616796,4,traffic_signals,
2217746793,30.6606365,104.0616938,4,traffic_signals,
2217746797,30.6609072,104.064972,4,traffic_signals,
2217746798,30.6608476,104.0601325,3,,
2217746800,30.6606999,104.0649772,4,traffic_signals,
2217790313,30.6616328,104.0580657,3,,
2240939532,30.611381,104.1282584,3,,
2240939546,30.6023834,104.1066718,3,,
2240939557,30.6093159,104.1257766,3,,
2240956962,30.5966518,104.1232999,4,,
2240956966,30.5974371,104.1321485,4,,
2259835274,30.625347,104.1026569,3,,
2259835288,30.6234583,104.1024393,3,,
2276187310,30.6836141,104.0836003,3,,
2276187313,30.684879,104.080611,4,,
2276405725,30.6197583,104.0927324,3,,
2282013918,30.6116286,103.9778181,4,,
2282016421,30.5947815,103.9908754,3,,
2282017519,30.5984923,103.9966186,4,,
2309311911,30.6306018,104.0979055,3,motorway_junction,
2309311958,30.6937796,104.0883202,3,motorway_junction,
2309311970,30.6245428,104.0937437,3,motorway_junction,
2309315410,30.6242275,104.0933114,3,,
2313566057,30.6478374,104.0699264,3,,
2315717685,30.6297196,104.0977032,3,,
2315717687,30.6345651,104.1005723,4,,
2315717688,30.629937,104.1001081,3,,
2315717689,30.6326894,104.0994972,3,,
2315717691,30.6296344,104.099921,4,,
2315717699,30.6310263,104.0984542,3,,
2315717850,30.6346761,104.100643,4,,
2317059615,30.6280214,104.0432778,3,,
2318416055,30.7121938,104.1662034,3,,
2324975287,30.5938034,104.0519991,4,,
2324975300,30.5979529,104.0519827,3,,
2324975304,30.5966355,104.0519948,4,,
2327034514,30.5941025,104.10407,4,,
2327779711,30.6216924,104.1048764,3,,
2327780254,30.6191196,104.1028263,3,,
2327780255,30.6218615,104.1060069,3,,
2328775691,30.6390006,104.1387362,3,,
2328775695,30.6317511,104.1338848,4,,
2328775698,30.6390739,104.1356614,3,,
2328775724,30.6390365,104.1371384,4,,
2328776791,30.628578,104.1217776,4,,
2328776792,30.6335268,104.1221236,3,,
2328776795,30.6311476,104.1199691,3,,
2328776796,30.6296912,104.117583,4,,
2328776800,30.6332165,104.118425,2,,
2328776803,30.6320077,104.1193312,4,,
2329062687,30.7326034,104.062309,3,,
2329062689,30.7324284,104.0496526,4,,
2329062690,30.72884,104.0496205,3,,
2329062692,30.7325165,104.055952,4,,
2329062698,30.7278875,104.0597661,3,,
2329062707,30.7046637,104.0052694,3,,
2329063773,30.6441767,104.1066304,3,motorway_junction,
2329066042,30.6541868,104.1124348,3,,
2329077117,30.6515773,104.1112174,3,motorway_junction,
2329094574,30.7277672,104.0465872,4,motorway_junction,
2329094576,30.7289668,104.0460478,4,,
2329094579,30.7285536,104.0444808,4,,
2329094584,30.7284685,104.0514912,3,,
2329094595,30.725291,104.0412324,3,,
2329097173,30.7048184,104.003987,4,,
2329097175,30.7031727,104.0048433,3,,
2329097182,30.704839,104.003277,3,,
2329101942,30.6998567,104.0068009,3,,
2329101945,30.6982549,104.0084652,3,,
2329115963,30.6308297,104.0371536,3,,
2329115975,30.6226924,104.0732295,3,,
2329116004,30.6798122,104.0224868,3,,
2329293161,30.7274266,104.0452801,4,,
2330197895,30.6963614,104.0882613,3,,
2330199255,30.6414563,104.1513924,3,,
2330199256,30.6797249,104.1596023,3,,
2330199275,30.6506914,104.1553951,3,,
2330199280,30.6387704,104.1508315,3,,
2330199287,30.6244846,104.1430392,3,,
2330199410,30.7197516,104.1127034,3,,
2330199415,30.7096038,104.1515678,3,,
2330199422,30.6968301,104.159148,3,,
2330199489,30.6516678,104.1557726,3,,
2331442697,30.7257295,104.0749566,3,,
2331442700,30.6542144,103.9822731,3,,
2331442703,30.7273045,104.0595314,3,,
2331442710,30.7268181,104.0697166,3,,
2331442712,30.6400118,103.9910416,3,,
2333175598,30.6330852,104.0343991,3,,
2333184029,30.6229873,104.0896966,3,,
2333187912,30.6225291,104.0707207,3,,
2333189455,30.6332803,104.0336509,4,,
2333193192,30.6305893,104.0982049,3,,
